Date,Water Year,Max_SWE,12_25_SWE,03_01_SWE,Prev_year_SWE,Aug_precip,Sep_precip
Aug-81,1982,22.32,6.56,15.45,11.61,2,1.42
Aug-82,1983,24.04,6.76,11.63,22.32,2.19,2.76
Aug-83,1984,26.47,13.24,17.17,24.04,3,0.67
Aug-84,1985,18.4,7.84,12.81,26.47,3.38,1.92
Aug-85,1986,23.27,10.07,18.05,18.4,0.71,3.23
Aug-86,1987,14.31,6.19,10.75,23.27,2.1,2.59
Aug-87,1988,18.46,5.45,13.7,14.31,2.05,0.81
Aug-88,1989,17.42,6.62,12.9,18.46,0.86,1.45
Aug-89,1990,17.05,6.01,10.86,17.42,1.44,1.46
Aug-90,1991,16.94,4.92,9.65,17.05,1.7,2.07
Aug-91,1992,15.46,6.3,10.08,16.94,2.42,1.49
Aug-92,1993,24.5,6.04,15.86,15.46,2.47,1.13
Aug-93,1994,17.43,6.43,12.93,24.5,1.59,2.29
Aug-94,1995,23.83,4.83,12.29,17.43,1.97,1.62
Aug-95,1996,25.37,7.37,19.72,23.83,1.47,2.54
Aug-96,1997,25.45,10.72,19.1,25.37,0.82,3.14
Aug-97,1998,18.15,5.37,12.31,25.45,2.82,3.4
Aug-98,1999,18.69,4.01,12.62,18.15,2.4,1.02
Aug-99,2000,18.06,4.21,13.04,18.69,2.71,1.66
Aug-00,2001,15.72,6.35,10.85,18.06,2.62,2.46
1-Aug,2002,11.42,4.31,9.07,15.72,2.46,1.62
2-Aug,2003,20.27,5.88,12.25,11.42,1.35,2.41
3-Aug,2004,14.12,5.5,11.01,20.27,2.46,1.9
4-Aug,2005,16.91,5.66,12.47,14.12,1.74,3.17
5-Aug,2006,19.47,8.53,15.54,16.91,1.98,1.61
6-Aug,2007,17.09,7.19,13.55,19.47,1.87,3.04
7-Aug,2008,22.82,6.12,16.44,17.09,2.56,2.83
8-Aug,2009,21,6.99,14.96,22.82,2.33,1.69
9-Aug,2010,17.23,5.58,11.11,21,0.65,1.71
10-Aug,2011,28.4,9.58,17.51,17.23,2.06,0.63
11-Aug,2012,12.01,4.73,11.55,28.4,1.4,1.67
12-Aug,2013,16.71,4.12,9.02,12.01,1.48,1.48
13-Aug,2014,23.11,6.3,17.71,16.71,2.18,5.37
14-Aug,2015,15.45,6.85,12.5,23.11,2.52,2.81
15-Aug,2016,18.62,6.92,12.32,15.45,1.02,1.02
16-Aug,2017,19.24,6.92,17.18,18.62,2.05,0.84
17-Aug,2018,15.8,5.08,10.83,19.24,1.82,1.94
18-Aug,2019,20.93,6.76,14.22,15.8,1.31,0.57
19-Aug,2020,19.92,7.26,15.63,20.93,1.01,1
