Date,Aug_avg_temp,Bear Lake (322) Air Temperature Average (degF) Mean of Daily Values,Berthoud Summit (335) Air Temperature Average (degF) Mean of Daily Values,Brumley (369) Air Temperature Average (degF) Mean of Daily Values,Butte (380) Air Temperature Average (degF) Mean of Daily Values,Columbine (408) Air Temperature Average (degF) Mean of Daily Values,Copeland Lake (412) Air Temperature Average (degF) Mean of Daily Values,Copper Mountain (415) Air Temperature Average (degF) Mean of Daily Values,Deadman Hill (438) Air Temperature Average (degF) Mean of Daily Values,Dry Lake (457) Air Temperature Average (degF) Mean of Daily Values,Elk River (467) Air Temperature Average (degF) Mean of Daily Values,Fremont Pass (485) Air Temperature Average (degF) Mean of Daily Values,Grizzly Peak (505) Air Temperature Average (degF) Mean of Daily Values,Hoosier Pass (531) Air Temperature Average (degF) Mean of Daily Values,Independence Pass (542) Air Temperature Average (degF) Mean of Daily Values,Joe Wright (551) Air Temperature Average (degF) Mean of Daily Values,Kiln (556) Air Temperature Average (degF) Mean of Daily Values,Lake Eldora (564) Air Temperature Average (degF) Mean of Daily Values,Lake Irene (565) Air Temperature Average (degF) Mean of Daily Values,Lynx Pass (607) Air Temperature Average (degF) Mean of Daily Values,Mc Clure Pass (618) Air Temperature Average (degF) Mean of Daily Values,Niwot (663) Air Temperature Average (degF) Mean of Daily Values,Park Cone (680) Air Temperature Average (degF) Mean of Daily Values,Phantom Valley (688) Air Temperature Average (degF) Mean of Daily Values,Porphyry Creek (701) Air Temperature Average (degF) Mean of Daily Values,Roach (718) Air Temperature Average (degF) Mean of Daily Values,Summit Ranch (802) Air Temperature Average (degF) Mean of Daily Values,Tower (825) Air Temperature Average (degF) Mean of Daily Values,University Camp (838) Air Temperature Average (degF) Mean of Daily Values,Vail Mountain (842) Air Temperature Average (degF) Mean of Daily Values,Willow Creek Pass (869) Air Temperature Average (degF) Mean of Daily Values,Willow Park (870) Air Temperature Average (degF) Mean of Daily Values
Aug-80,,,,,,32,,,,,,,32,,,,,,,,,,,,,,,,,,,
Aug-81,,,,,,32,,,,,,,32,,,,,,,,,,,,,,,,,,,
Aug-82,,,,,,32,,,,,,,32,,,,,,,,,,,,,,,,,,,
Aug-83,,,,,,32,,,,,,,32,,,,,,,,,,,,,,,,,,,
Aug-84,,,,,,-54,,,,,,,48,,,,,,,,,,,,,,,,,,,
Aug-85,,,,,,54,,,,,,,50,,,,,,32,,,,,32,,,,,,,,
Aug-86,,,47,47,51,54,,49,,57,52,42,49,46,45,,50,,47,53,56,,51,52,47,,52,52,,53,44,
Aug-87,,,45,46,51,50,,48,,56,56,40,48,46,43,,50,,47,51,55,,49,52,47,,51,50,,52,49,
Aug-88,,,49,49,53,55,,51,,61,60,43,50,45,47,,54,,49,55,57,,53,53,42,,54,53,,55,52,32
Aug-89,46.79,41,45,46,44,52,54,48,52,57,57,41,48,46,44,62,50,55,48,51,54,,50,51,-29,46,49,49,,52,48,46
Aug-90,50.39,53,47,46,51,53,55,49,49,58,58,46,48,46,45,48,51,54,47,53,56,50,52,52,47,51,51,52,48,53,49,44
Aug-91,50.43,54,47,47,51,54,55,48,49,58,58,46,48,47,48,48,,54,47,53,51,50,51,50,48,51,51,51,49,53,49,47
Aug-92,48.74,53,46,45,48,49,54,47,48,57,56,45,46,45,46,47,49,52,46,52,51,48,49,48,45,49,49,50,48,51,47,45
Aug-93,45.90,52,47,46,52,47,51,25,47,55,54,46,47,46,47,48,50,47,-14,52,52,49,50,47,43,49,51,49,45,51,46,46
Aug-94,52.87,56,50,49,55,54,58,49,52,59,62,48,49,49,50,51,54,57,50,55,59,52,53,53,49,53,54,53,51,55,51,49
Aug-95,54.23,59,51,50,56,57,61,51,53,59,59,50,51,50,51,53,51,59,52,56,59,55,54,55,51,54,55,55,54,57,52,51
Aug-96,52.23,55,50,48,55,55,57,49,50,58,58,48,49,48,50,51,53,56,49,55,59,52,52,52,49,51,53,53,50,56,50,48
Aug-97,50.35,54,48,48,52,53,56,48,49,55,55,46,47,47,48,45,52,54,48,52,55,51,51,51,47,50,51,50,50,52,49,47
Aug-98,51.90,55,50,48,54,55,57,50,50,57,57,48,50,48,49,50,52,55,49,54,58,51,53,52,49,51,53,52,50,54,50,48
Aug-99,50.74,54,48,47,51,54,56,49,50,56,50,47,48,47,48,49,52,54,48,54,55,51,51,52,48,51,52,52,50,52,50,47
Aug-00,53.52,58,46,50,55,56,60,51,53,60,60,49,51,49,50,52,54,58,50,56,59,55,53,53,49,55,53,54,53,56,51,50
1-Aug,51.35,49,50,48,52,55,57,51,51,58,59,47,49,47,48,42,52,55,49,55,57,52,50,52,47,53,52,52,51,54,50,48
2-Aug,52.35,57,51,49,54,45,58,50,50,58,58,49,51,50,50,50,53,56,50,55,59,52,53,53,49,52,54,52,51,55,51,48
3-Aug,53.65,57,51,49,51,57,59,51,52,60,60,50,51,50,51,51,55,57,51,56,60,54,54,54,50,54,55,54,52,56,52,49
4-Aug,49.52,52,47,46,53,52,53,48,47,57,54,46,47,47,47,47,51,53,46,52,57,48,51,49,47,48,51,48,47,52,47,45
5-Aug,50.97,53,49,48,54,53,55,49,49,57,56,46,49,48,47,51,52,55,48,52,56,52,52,51,47,52,51,51,50,53,48,46
6-Aug,52.26,56,50,49,54,54,58,50,51,58,56,48,49,48,48,51,53,56,50,54,57,53,53,54,48,53,53,52,51,53,51,49
7-Aug,54.97,58,53,51,57,57,59,52,53,61,60,51,52,52,51,54,56,59,52,57,60,55,56,55,51,55,57,55,54,56,53,52
8-Aug,53.06,56,50,50,56,55,57,50,51,58,58,50,50,50,51,52,54,56,50,55,61,52,54,53,50,53,53,53,52,55,51,49
9-Aug,52.45,56,51,49,56,54,57,50,51,57,56,45,50,50,50,51,53,57,50,54,58,53,53,53,50,52,54,52,51,54,50,49
10-Aug,52.90,57,50,50,55,54,,51,52,57,56,50,50,50,50,52,53,57,50,55,58,54,54,54,50,53,54,52,53,55,51,50
11-Aug,55.48,60,53,52,58,57,61,53,54,60,60,52,53,53,52,54,55,60,52,56,61,56,55,55,52,56,57,55,55,58,53,52
12-Aug,54.65,59,52,51,57,57,59,51,53,61,61,51,51,51,51,52,54,58,52,56,61,54,54,55,51,56,58,55,53,57,52,51
13-Aug,53.23,58,51,50,55,56,59,50,52,59,58,50,50,49,50,52,52,57,50,56,58,53,53,53,50,54,54,54,52,55,51,49
14-Aug,50.77,54,48,48,53,53,56,48,49,55,55,48,48,47,48,49,51,54,48,53,56,51,52,52,48,51,52,50,49,52,49,47
15-Aug,54.10,58,52,51,56,56,60,52,53,58,58,51,52,50,50,53,53,58,51,56,59,55,54,55,51,54,56,53,53,56,52,51
16-Aug,51.26,55,49,48,52,54,57,49,50,57,57,48,49,48,48,49,51,55,47,53,56,51,51,52,48,52,53,52,50,53,48,47
17-Aug,52.29,55,50,49,55,55,56,49,50,58,58,49,50,49,49,50,53,55,49,55,58,52,52,52,50,52,54,53,50,55,51,48
18-Aug,54.23,57,52,51,57,56,59,52,52,60,59,51,52,51,52,52,54,57,51,57,60,54,54,55,52,54,56,54,52,56,52,50
19-Aug,55.33,59,54,52,58,57,60,53,53,60,60,53,53,53,52,54,55,59,52,,61,55,55,56,53,55,57,55,54,58,53,51
20-Aug,57.52,61,56,53,60,60,62,55,56,65,64,54,55,55,54,55,57,61,54,61,64,57,56,57,54,57,59,59,55,60,55,52
