Date,Average,Bear Lake (322) Precipitation Increment (in) Sum of Daily Values,Berthoud Summit (335) Precipitation Increment (in) Sum of Daily Values,Brumley (369) Precipitation Increment (in) Sum of Daily Values,Butte (380) Precipitation Increment (in) Sum of Daily Values,Columbine (408) Precipitation Increment (in) Sum of Daily Values,Copeland Lake (412) Precipitation Increment (in) Sum of Daily Values,Copper Mountain (415) Precipitation Increment (in) Sum of Daily Values,Deadman Hill (438) Precipitation Increment (in) Sum of Daily Values,Dry Lake (457) Precipitation Increment (in) Sum of Daily Values,Elk River (467) Precipitation Increment (in) Sum of Daily Values,Fremont Pass (485) Precipitation Increment (in) Sum of Daily Values,Grizzly Peak (505) Precipitation Increment (in) Sum of Daily Values,Hoosier Pass (531) Precipitation Increment (in) Sum of Daily Values,Independence Pass (542) Precipitation Increment (in) Sum of Daily Values,Joe Wright (551) Precipitation Increment (in) Sum of Daily Values,Kiln (556) Precipitation Increment (in) Sum of Daily Values,Lake Eldora (564) Precipitation Increment (in) Sum of Daily Values,Lake Irene (565) Precipitation Increment (in) Sum of Daily Values,Lynx Pass (607) Precipitation Increment (in) Sum of Daily Values,Mc Clure Pass (618) Precipitation Increment (in) Sum of Daily Values,Niwot (663) Precipitation Increment (in) Sum of Daily Values,Park Cone (680) Precipitation Increment (in) Sum of Daily Values,Phantom Valley (688) Precipitation Increment (in) Sum of Daily Values,Porphyry Creek (701) Precipitation Increment (in) Sum of Daily Values,Roach (718) Precipitation Increment (in) Sum of Daily Values,Summit Ranch (802) Precipitation Increment (in) Sum of Daily Values,Tower (825) Precipitation Increment (in) Sum of Daily Values,University Camp (838) Precipitation Increment (in) Sum of Daily Values,Vail Mountain (842) Precipitation Increment (in) Sum of Daily Values,Willow Creek Pass (869) Precipitation Increment (in) Sum of Daily Values,Willow Park (870) Precipitation Increment (in) Sum of Daily Values
Aug-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-81,2.0,2.3,1.7,3.1,1.1,0.9,3.1,1.8,1.1,0.6,1.2,1.4,1.9,2.3,2.4,2.1,2,2.7,2.4,2,2.5,2.7,1.5,1.7,3,1.7,2.9,1.4,2.8,1.8,1.8,2
Aug-82,2.2,1.6,2.7,3.2,2.2,0.9,3.4,2.9,3.2,1.6,0.6,2.9,3.3,4,2.8,1.6,1,2.9,2.1,0.9,1.4,3.2,1.7,1.7,3.4,1.5,0.8,1.8,3.4,1.6,1.4,2.3
Aug-83,3.0,1.8,3.6,4.5,3,0.9,,4.8,0.6,1.5,1.4,3.6,4.5,5.9,3.5,3.6,3.5,3.2,3.5,1.2,4.2,4,1.7,2.8,3.2,1.8,3.5,2.7,3.7,1.7,3.5,2.7
Aug-84,3.4,2,4.3,3.2,3,2.4,2.7,4.1,2.5,2,3.6,4.4,5.1,5.6,2.5,3.9,2.1,4.2,3.4,3,5.5,3.6,2.9,3.1,4,1.6,3,2.7,3.6,3.2,4.4,3.3
Aug-85,0.7,0.7,1.3,0.8,0.6,1.5,0,0.2,0.8,1.2,0.6,0.4,0.3,0.6,0.5,1.9,0.3,0.6,1,1.5,0.1,0.3,0.2,0.7,0.1,1.3,0.5,1,0.6,0.4,1,1
Aug-86,2.1,3,2.5,2.6,1.7,2.8,1.2,2,1.6,3.3,2.7,1.7,1.7,1.9,2.5,2.5,2.5,1.3,2.4,1.9,2.5,2.5,1.6,2.8,2.2,2,1,2.5,2,1.6,0.8,1.9
Aug-87,2.0,2.6,3.1,3.3,3.5,2.1,0.8,1.8,1.5,2.5,1.5,2.2,2.2,2.4,2.9,2.1,1.8,1.9,1.5,2.4,2.7,1.9,2.2,1.3,1.1,1.2,1.5,2.7,1.6,1.4,2.5,1.3
Aug-88,0.9,0.6,1.6,0.3,1,0,0.5,1.5,0.4,0.8,0.4,1.1,2.1,2,1,0.5,0,1,0.7,0.6,1,0.9,1.3,0.5,1.3,0.6,0.5,0.8,1,0.7,1.1,0.9
Aug-89,1.4,2.5,2.1,1.3,1,0,2,1,2.7,1.5,1.5,1.2,0.7,1.1,1.8,3.5,0.7,0.7,1.3,1.8,1.9,1.8,0.3,1.3,0.4,2.5,1.5,0.9,1.7,1.1,1.5,1.4
Aug-90,1.7,2.1,3.7,0.8,1.7,0.9,2.8,1.1,1.4,0.8,1.2,1.7,1.6,2.6,1.7,1.1,0.4,3,2,2.1,0.3,3.2,0.7,2.1,2.6,0.7,1.2,2.1,3,1,1,2
Aug-91,2.4,3.3,3.1,0.8,1.5,1.9,3,2.7,2,0.5,1.8,2.1,3.3,2.3,0.9,2.9,2.1,3.6,2.9,2.2,2.4,4,1.2,2.9,3.4,1.7,3.1,1.7,3.4,2.5,2.5,3.2
Aug-92,2.5,2.5,3.3,2.8,3.6,1.5,2.1,2.7,1.2,1.9,1.1,3,3.2,2.7,2.6,2.4,2.1,3.4,1.6,1.4,3.2,4.2,3.2,2.4,2.9,1.7,1.9,1.9,3.8,2.9,1.7,1.8
