Water Year,Average,Bear Lake (322) Snow Water Equivalent Maximum (in),Berthoud Summit (335) Snow Water Equivalent Maximum (in),Brumley (369) Snow Water Equivalent Maximum (in),Butte (380) Snow Water Equivalent Maximum (in),Columbine (408) Snow Water Equivalent Maximum (in),Copeland Lake (412) Snow Water Equivalent Maximum (in),Copper Mountain (415) Snow Water Equivalent Maximum (in),Deadman Hill (438) Snow Water Equivalent Maximum (in),Dry Lake (457) Snow Water Equivalent Maximum (in),Elk River (467) Snow Water Equivalent Maximum (in),Fremont Pass (485) Snow Water Equivalent Maximum (in),Grizzly Peak (505) Snow Water Equivalent Maximum (in),Hoosier Pass (531) Snow Water Equivalent Maximum (in),Independence Pass (542) Snow Water Equivalent Maximum (in),Joe Wright (551) Snow Water Equivalent Maximum (in),Kiln (556) Snow Water Equivalent Maximum (in),Lake Eldora (564) Snow Water Equivalent Maximum (in),Lake Irene (565) Snow Water Equivalent Maximum (in),Lynx Pass (607) Snow Water Equivalent Maximum (in),Mc Clure Pass (618) Snow Water Equivalent Maximum (in),Niwot (663) Snow Water Equivalent Maximum (in),Park Cone (680) Snow Water Equivalent Maximum (in),Phantom Valley (688) Snow Water Equivalent Maximum (in),Porphyry Creek (701) Snow Water Equivalent Maximum (in),Roach (718) Snow Water Equivalent Maximum (in),Summit Ranch (802) Snow Water Equivalent Maximum (in),Tower (825) Snow Water Equivalent Maximum (in),University Camp (838) Snow Water Equivalent Maximum (in),Vail Mountain (842) Snow Water Equivalent Maximum (in),Willow Creek Pass (869) Snow Water Equivalent Maximum (in),Willow Park (870) Snow Water Equivalent Maximum (in)
1981,11.61,20.8,13.8,8.4,9,13.8,1.9,9.3,13.6,16.4,12.8,14.4,9.8,8.6,12.6,16.1,9.3,5.7,14.9,6.8,14.3,7.6,6.6,6.6,10.2,12.2,8.4,32.2,9.8,15.7,7.7,10.7
1982,22.32,19.8,23.6,13.8,20.1,38.6,3.4,17.8,24.1,30.8,27.2,22.6,22,21.1,20.8,27.5,16.5,10.5,36.4,,20.6,15.1,14.2,10.2,21.6,20.1,,59.9,22.5,31.6,12.6,22.3
1983,24.04,21.8,32.6,11.5,17.1,28.5,,19.5,27.8,29.4,20.6,24.8,26.5,14.5,19.1,38.8,13.9,14,39.4,14.6,24.1,18.3,10,13.7,23.3,30.4,15.4,63.9,22.1,37.3,16.8,31.6
1984,26.47,26.4,33.4,21,25.1,30.9,6.7,20.6,25.9,37.2,26.8,29.1,28.9,23.1,26.7,37.4,20,18.9,39.2,16.6,27.9,21.1,13.7,15.3,27.4,24.6,21.3,61.8,27.4,39.1,16.8,30.2
1985,18.4,16.3,20.8,11,19.5,24.1,2.8,15.8,17.8,25.3,21.1,18.3,17.8,14.5,17.8,23.8,13.3,11,29.3,14,24,10.9,12.7,8.5,17.3,17.6,12.8,54.8,15.5,27.8,13.4,20.8
1986,23.27,32.7,24.8,10.8,24.1,27.6,9.1,15.6,29.5,26,23.6,20.5,23.1,18.5,19.5,36.4,13,11.1,41.3,15.9,18.5,16.8,14.6,13.8,16.3,31.7,12.5,70.4,23.3,25.5,23.4,31.5
1987,14.31,12.4,17.5,9.3,16.3,16.3,4.5,11.4,13.2,14.2,13.3,18.5,13.3,18.8,17.8,19.3,10.4,11.4,19.3,9.1,14.9,11.9,10.7,6.7,17.3,12.2,8.7,38,16,17.8,8.8,14.2
1988,18.46,19.1,22.6,9.3,11.5,28.7,6.5,13.7,22.5,25.8,20.8,18.6,16.8,14.9,13.8,27.6,10.2,12.7,31.1,14.5,14.4,14,6.9,12.2,15.1,18.8,12.1,55.6,20.1,22,14.8,25.7
1989,17.42,17.8,21.5,11,14.7,25.6,4.6,14.2,18,22.1,19.8,19.3,14.4,16.1,16.6,20.8,11.9,12.9,27.7,13.6,17.8,10.8,11.4,8.5,13.1,16.1,13.4,52.6,17.7,21.3,15.1,19.6
1990,17.05,20.7,15.9,10.3,7.7,23.5,5,13.2,19.3,23.9,22.3,19.5,16.7,14.3,14.1,30.7,9.3,16.2,25.7,11,10.5,15.3,7,8.6,13.5,18.4,9.8,49.5,24.1,19.9,12.7,20
1991,16.94,15.5,23.8,11.5,12.9,26.4,2.7,12.6,18.9,22.2,18,21.2,13,12.9,17.4,25.8,11.2,10.1,20.9,12.3,16.4,9.4,10.6,9.5,12.6,17.7,12.7,52,15.6,27.4,16.4,15.6
1992,15.46,15.2,23.3,8.9,11.7,19.6,3,13.7,18.2,15.7,13.6,17.3,13,15.1,14.2,22.8,10.8,13.9,24.1,11.3,16,12.6,8.4,9.9,15.1,13.4,9.3,44.2,14.2,23.1,11.5,16.3
1993,24.5,26.1,30.8,18,26.5,30.6,5.9,19.7,22.7,30,23.5,24.2,24.3,19.6,24.8,32.7,18.3,15.2,36,16,30.9,15.9,17.2,14.4,22.5,21.7,17.6,68,23.3,34,22.5,26.7
1994,17.43,19.6,20.2,11.4,13.6,22.9,6.4,16.4,20.2,17,16.7,16.7,18.4,17.3,18.6,22,15.5,15.3,26.3,11.7,14.4,15.5,10.4,10.2,16,15.4,11.4,47.9,20.7,20,13.2,19
1995,23.83,25.5,23.1,19.1,24.1,25,4.6,21.5,28.8,23.6,22.6,27.9,24,26.9,27.7,33.6,15.9,14.2,33.6,12.1,26.9,18.1,17.7,8.8,24,20.2,15.3,69.7,24.9,31.3,20.5,27.6
1996,25.37,29.7,30.5,16.8,21,37.9,9.6,23.4,26.8,29.6,23.1,27.1,29.5,23.3,22.1,35,17.1,24,37.5,16.9,15.6,20.6,14.8,15.4,21.6,24.5,18.3,60.4,34.8,35,16.7,27.9
1997,25.45,30.7,31.4,14.5,21.3,30.8,8.5,23.2,24.2,27.6,30.2,25.7,23.9,27.7,23.6,36,15.7,20.3,36.4,13.2,25.6,20.4,15.6,13.1,23.7,26.5,15.8,62.4,30.5,33.6,24.8,32
1998,18.15,19.9,23.8,12.3,14.8,21.4,4.6,15.6,17.5,20.9,18.8,16.8,18.8,17.2,17.6,24,13.3,15.4,24.3,12.2,25.5,15.2,10.2,9.9,18.9,17.2,11.4,54,19.4,20.7,9.5,21.5
1999,18.69,26,23.1,10.9,14.6,20.4,4.6,19.4,22.2,18.3,17.9,21.6,19.5,23.4,20.6,24.2,11.3,11.9,25.4,9.6,12.9,14.7,10,8.7,14.7,19.9,10.9,58,22.2,17.7,16,28.8
2000,18.06,22.2,19.3,9.8,13.3,30.6,6,17.5,20.5,24.1,19.7,18.8,17,15.8,14.7,25.5,13.9,14.1,25.5,11.2,16.9,12.5,9.1,12.2,17.4,15,11.4,47,16.4,22.7,18.3,21.6
2001,15.72,15.2,22.3,11.2,12,20.9,3.2,14.4,15.7,19.2,17.6,19.5,16.5,16.7,15.1,21.7,10.9,9.9,23.6,10.9,14.8,9.8,6,9.4,14.6,16,10.2,39.8,16.1,19.8,14.9,19.4
2002,11.42,9.5,11.1,6.6,10.1,18.9,4.6,12.7,11.7,18.8,15.2,12.2,9.8,9.4,12.9,14.4,8.6,7.1,17,9.1,12,7,6.2,8.7,8.5,9.6,7.9,30.6,9.1,14.6,8.4,11.6
2003,20.27,24.7,26,10.5,13.8,23.6,7.9,20.6,21.6,22.4,19.1,22.6,23.4,16.7,17.5,33.4,11.4,17.5,30.2,11.1,16.8,15.8,9.8,12.1,17.2,19.2,15.4,54.4,21.5,28,22.9,21.4
2004,14.12,18.6,14.9,5.8,12,20,3.6,10.3,16.2,19,17,16.3,12.7,13.1,14.2,17.6,8.4,7.5,17.5,8.6,14.8,11.6,9.1,6.7,14.2,15.2,10.5,40.6,16.9,16.8,13,15.1
2005,16.91,18.5,19.8,9.5,18.3,19.7,6.7,13.7,18.4,21.4,22.5,18.1,12.8,14.6,16.3,23.5,11,10.7,20.8,10.9,26.1,13.4,10.8,8.6,18.5,15.6,10.9,43.9,17.8,20,15.4,16
2006,19.47,17.3,24,13.8,16.4,31.6,6,19.2,17.3,24.7,21.5,23.7,21.6,19.4,17,22.9,15.8,14.2,25.3,14.2,20.5,12.8,11.3,11.1,16.2,17.3,14.2,56.5,18.5,29.2,13.4,16.7
