Date,Average,Bear Lake (322) Air Temperature Average (degF) Mean of Daily Values,Berthoud Summit (335) Air Temperature Average (degF) Mean of Daily Values,Brumley (369) Air Temperature Average (degF) Mean of Daily Values,Butte (380) Air Temperature Average (degF) Mean of Daily Values,Columbine (408) Air Temperature Average (degF) Mean of Daily Values,Copeland Lake (412) Air Temperature Average (degF) Mean of Daily Values,Copper Mountain (415) Air Temperature Average (degF) Mean of Daily Values,Deadman Hill (438) Air Temperature Average (degF) Mean of Daily Values,Dry Lake (457) Air Temperature Average (degF) Mean of Daily Values,Elk River (467) Air Temperature Average (degF) Mean of Daily Values,Fremont Pass (485) Air Temperature Average (degF) Mean of Daily Values,Grizzly Peak (505) Air Temperature Average (degF) Mean of Daily Values,Hoosier Pass (531) Air Temperature Average (degF) Mean of Daily Values,Independence Pass (542) Air Temperature Average (degF) Mean of Daily Values,Joe Wright (551) Air Temperature Average (degF) Mean of Daily Values,Kiln (556) Air Temperature Average (degF) Mean of Daily Values,Lake Eldora (564) Air Temperature Average (degF) Mean of Daily Values,Lake Irene (565) Air Temperature Average (degF) Mean of Daily Values,Lynx Pass (607) Air Temperature Average (degF) Mean of Daily Values,Mc Clure Pass (618) Air Temperature Average (degF) Mean of Daily Values,Niwot (663) Air Temperature Average (degF) Mean of Daily Values,Park Cone (680) Air Temperature Average (degF) Mean of Daily Values,Phantom Valley (688) Air Temperature Average (degF) Mean of Daily Values,Porphyry Creek (701) Air Temperature Average (degF) Mean of Daily Values,Roach (718) Air Temperature Average (degF) Mean of Daily Values,Summit Ranch (802) Air Temperature Average (degF) Mean of Daily Values,Tower (825) Air Temperature Average (degF) Mean of Daily Values,University Camp (838) Air Temperature Average (degF) Mean of Daily Values,Vail Mountain (842) Air Temperature Average (degF) Mean of Daily Values,Willow Creek Pass (869) Air Temperature Average (degF) Mean of Daily Values,Willow Park (870) Air Temperature Average (degF) Mean of Daily Values
Sep-80,,,,,,32,,,,,,,32,,,,,,,,,,,,,,,,,,,
Sep-81,,,,,,32,,,,,,,32,,,,,,,,,,,,,,,,,,,
Sep-82,,,,,,32,,,,,,,32,,,,,,,,,,,,,,,,,,,
Sep-83,,,,,,32,,,,,,,32,,,,,,,,,,,,,,,,,,,
Sep-84,,,,,,-54,,,,,,,41,,,,,,32,,,,,32,,,,,,,,
Sep-85,,,24,32,32,42,,27,,32,32,32,38,32,32,,32,,31,32,32,,32,32,32,,32,32,,32,32,
Sep-86,,,36,38,41,68,,40,,45,44,32,39,38,35,,41,,37,42,45,,42,43,38,,42,39,,42,41,
Sep-87,,,39,39,44,45,,41,,50,50,34,41,40,36,,42,,40,45,49,,43,45,39,,43,36,,46,41,32
Sep-88,,32,38,39,44,44,32,41,32,49,48,32,38,39,37,32,42,32,40,44,48,,43,44,31,,41,42,,44,41,37
Sep-89,44.03,48,41,41,47,47,49,43,41,51,49,34,43,41,39,43,46,49,42,47,50,,46,46,43,43,46,44,32,47,42,41
Sep-90,47.19,50,44,44,48,50,52,45,44,55,54,43,44,43,45,45,49,51,44,49,52,46,47,49,44,46,48,49,45,50,45,43
Sep-91,42.00,47,41,41,44,46,48,42,41,50,48,39,42,40,-5,42,45,46,41,46,43,43,45,44,41,43,45,44,42,45,42,41
Sep-92,42.16,49,42,42,45,-32,51,43,42,50,50,41,42,42,41,44,45,49,41,46,48,46,46,44,41,44,45,43,45,46,43,43
Sep-93,38.77,45,40,39,48,-30,47,41,39,24,44,35,39,39,40,41,43,45,36,44,48,43,,42,41,41,43,41,42,44,40,39
Sep-94,44.77,48,42,41,47,48,51,42,42,50,51,41,41,41,42,43,46,49,42,46,51,46,45,44,42,44,45,44,44,47,42,41
Sep-95,43.35,46,40,41,46,46,48,41,41,48,47,40,40,40,41,41,44,46,40,45,50,43,45,44,41,42,44,43,43,46,42,40
Sep-96,41.48,45,38,39,44,43,47,39,39,46,46,38,38,38,39,40,42,45,39,44,47,42,43,42,39,41,42,39,41,43,40,38
Sep-97,45.50,49,43,43,47,47,52,44,44,,49,43,44,43,43,45,46,49,43,47,51,47,47,47,44,45,47,35,46,48,44,43
Sep-98,48.71,52,47,45,51,51,54,47,46,53,53,45,48,45,45,47,49,52,46,51,55,48,49,49,46,47,50,49,47,52,46,45
Sep-99,41.97,45,41,40,44,44,46,41,39,45,45,38,41,39,40,41,42,44,40,43,48,41,43,43,40,41,43,40,41,44,40,39
Sep-00,45.68,49,41,43,48,47,50,45,43,49,50,42,45,44,43,45,46,49,43,47,52,46,46,46,43,45,47,44,45,48,43,42
1-Sep,45.74,48,45,42,49,49,51,43,43,52,52,42,45,43,42,36,46,50,43,47,54,46,46,45,44,45,46,46,45,49,42,42
2-Sep,44.61,44,43,41,56,39,51,43,43,49,48,40,43,44,41,43,44,48,42,46,50,46,45,45,41,44,46,43,44,46,43,42
3-Sep,44.00,46,43,42,48,46,48,43,40,48,48,40,43,43,41,43,44,48,41,45,50,44,44,44,41,43,45,42,43,46,41,41
4-Sep,43.45,46,42,40,46,45,49,42,40,49,47,40,42,42,40,43,43,48,40,44,50,44,43,42,41,41,45,43,45,45,40,40
5-Sep,47.68,52,46,45,50,50,54,46,44,52,51,43,46,46,43,48,48,52,46,47,52,49,48,48,43,48,48,47,48,49,43,46
6-Sep,42.13,45,39,40,45,44,47,40,40,47,46,39,40,39,39,41,42,45,40,44,48,43,43,43,39,41,43,41,41,43,40,39
7-Sep,47.23,50,45,45,49,49,52,45,45,51,51,44,45,45,44,47,48,51,44,49,53,48,48,47,44,47,49,45,47,48,45,44
8-Sep,45.61,48,44,43,49,47,50,43,43,50,49,43,44,44,43,44,46,49,43,47,53,45,46,45,43,44,47,45,44,48,43,42
9-Sep,46.32,49,41,43,48,49,51,43,45,53,52,44,44,43,43,45,47,49,44,48,53,46,46,46,43,46,48,47,45,48,44,43
10-Sep,49.90,54,48,46,53,51,56,47,48,53,54,48,48,48,46,49,49,55,47,50,55,52,49,49,47,50,50,49,50,52,47,47
11-Sep,46.81,50,44,44,50,49,52,44,45,51,52,44,44,44,44,45,47,50,44,48,52,47,48,47,44,46,48,47,45,49,44,43
12-Sep,47.74,51,46,44,50,50,52,45,46,53,53,45,45,45,44,46,47,51,45,49,54,47,47,49,44,48,49,48,46,50,46,45
13-Sep,47.94,51,45,46,49,50,52,46,47,52,52,45,45,44,45,47,48,51,45,50,53,48,48,49,45,49,50,46,47,49,47,45
14-Sep,48.35,51,46,46,51,50,52,46,47,52,52,46,46,45,45,47,48,51,46,50,54,48,49,49,46,48,50,48,47,51,46,46
15-Sep,49.90,54,48,47,52,51,56,47,48,54,54,47,49,47,46,49,49,55,47,50,55,51,49,50,48,49,50,49,50,52,47,47
16-Sep,47.90,52,46,45,49,50,53,46,47,52,51,45,46,46,44,48,47,52,45,50,52,48,47,48,45,48,49,47,47,49,46,45
17-Sep,47.13,50,45,45,49,49,51,45,44,51,50,45,46,45,45,45,48,50,44,49,53,47,48,48,45,46,49,46,46,49,45,43
18-Sep,50.61,55,49,47,52,53,56,48,49,56,56,48,49,48,46,50,50,55,48,52,56,51,48,51,47,50,51,50,50,53,48,47
19-Sep,50.23,54,49,48,53,52,55,49,48,53,53,48,49,48,48,49,50,54,47,,55,51,50,50,48,50,52,48,49,52,48,47
20-Sep,48.48,52,47,44,51,50,54,46,47,54,54,45,47,45,44,47,48,53,46,51,54,49,47,49,45,48,49,48,48,50,46,45
