Date,Average,Bear Lake (322) Precipitation Increment (in) Sum of Daily Values,Berthoud Summit (335) Precipitation Increment (in) Sum of Daily Values,Brumley (369) Precipitation Increment (in) Sum of Daily Values,Butte (380) Precipitation Increment (in) Sum of Daily Values,Columbine (408) Precipitation Increment (in) Sum of Daily Values,Copeland Lake (412) Precipitation Increment (in) Sum of Daily Values,Copper Mountain (415) Precipitation Increment (in) Sum of Daily Values,Deadman Hill (438) Precipitation Increment (in) Sum of Daily Values,Dry Lake (457) Precipitation Increment (in) Sum of Daily Values,Elk River (467) Precipitation Increment (in) Sum of Daily Values,Fremont Pass (485) Precipitation Increment (in) Sum of Daily Values,Grizzly Peak (505) Precipitation Increment (in) Sum of Daily Values,Hoosier Pass (531) Precipitation Increment (in) Sum of Daily Values,Independence Pass (542) Precipitation Increment (in) Sum of Daily Values,Joe Wright (551) Precipitation Increment (in) Sum of Daily Values,Kiln (556) Precipitation Increment (in) Sum of Daily Values,Lake Eldora (564) Precipitation Increment (in) Sum of Daily Values,Lake Irene (565) Precipitation Increment (in) Sum of Daily Values,Lynx Pass (607) Precipitation Increment (in) Sum of Daily Values,Mc Clure Pass (618) Precipitation Increment (in) Sum of Daily Values,Niwot (663) Precipitation Increment (in) Sum of Daily Values,Park Cone (680) Precipitation Increment (in) Sum of Daily Values,Phantom Valley (688) Precipitation Increment (in) Sum of Daily Values,Porphyry Creek (701) Precipitation Increment (in) Sum of Daily Values,Roach (718) Precipitation Increment (in) Sum of Daily Values,Summit Ranch (802) Precipitation Increment (in) Sum of Daily Values,Tower (825) Precipitation Increment (in) Sum of Daily Values,University Camp (838) Precipitation Increment (in) Sum of Daily Values,Vail Mountain (842) Precipitation Increment (in) Sum of Daily Values,Willow Creek Pass (869) Precipitation Increment (in) Sum of Daily Values,Willow Park (870) Precipitation Increment (in) Sum of Daily Values
Sep-80,,,0.7,1.2,,1.1,,1.5,3.7,,0.9,0.9,1.7,1.8,,2.6,1.2,1.1,1.4,,1.1,,1,,1.8,,1,2.3,1.9,1.9,1.5,1
Sep-81,1.42,1.2,0.8,1.2,1.3,2,0.8,2,1.4,1.2,1.3,1.6,1.1,1.8,1.3,2.5,1,1.3,1.7,1.2,1.5,2.3,1.1,1.2,1.9,1.3,1.2,1.3,1.6,0.9,1.4,1.6
Sep-82,2.76,3.7,2,2.1,2.8,2.5,3,1.6,2,2.6,3.4,2.1,2,2.7,2.8,4.2,2.5,1.9,3.8,2.1,5.1,2.6,2.7,4.2,2.7,2.8,1.9,3.7,1.2,2.4,2.6,4
Sep-83,0.67,0.7,1.6,1.1,0,0.2,,0.3,0.2,0.5,1.3,0.3,0.3,0.4,0.5,1.1,0.5,0.7,1.3,0.6,1,0.4,0.6,1.2,0.2,0.5,0.6,0.8,0.9,0.4,1.2,0.8
Sep-84,1.92,3.3,2.4,1.3,1.1,2.5,2.2,1.2,2.3,2.7,0.7,0.9,2,0.9,1.5,4.9,1.3,1.5,2.2,1.3,3.4,1.7,0.8,1.8,0.1,2.3,0.7,3.8,2.8,1.6,1.6,2.6
Sep-85,3.23,2.7,4.6,3.3,4,1.6,3.3,3.3,3,2.6,2,2.9,4.4,2.9,4.2,5.2,3.1,3.3,4.1,1.3,5.7,2.9,2.8,2.5,2.7,3.9,2.7,3.6,3.1,3.6,1.4,3.3
Sep-86,2.59,1.6,2.5,3.1,3.7,2.1,1.8,1.8,1.7,3,3.8,2,1.2,1.7,3.3,3.6,1.8,1.6,2.7,2.5,6.2,1.4,2.8,2.1,2,3.2,1.7,4.4,2.1,2.7,3.4,2.9
Sep-87,0.81,1.3,1,1,0.5,0.7,1.5,0.7,0.7,1.1,0.2,0.5,0.8,0.3,0.6,0.9,0.5,1.1,1.4,0.8,0.5,1,0.6,0.7,0.5,0.5,1.2,1.3,1.2,0.7,0,1.4
Sep-88,1.45,1.6,1.9,1.7,2.1,1.2,1,1,1.6,1.7,2.2,0.7,0.7,1.5,1.7,1.2,0.2,1,1.3,2.2,3.2,1.8,1.5,0.4,1.6,1.2,1,2.7,1.3,1.3,0.9,1.5
Sep-89,1.46,1.3,0.7,1.5,1.2,0.2,1.2,1.2,2.3,1.9,1.7,0.8,1.5,1.6,1.6,2,1.5,1.3,1,1.2,2.8,2.2,1.4,0.8,1.8,2.2,0.7,2.6,1.8,0.9,1.2,1.1
