Date,Water Year,Max_SWE,12_25_SWE,03_01_SWE,Aug_avg_temp,Sep_avg_temp
Aug-89,1990,17.05,6.01,10.86,46.79,44.03
Aug-90,1991,16.94,4.92,9.65,50.39,47.19
Aug-91,1992,15.46,6.30,10.08,50.43,42.00
Aug-92,1993,24.50,6.04,15.86,48.74,42.16
Aug-93,1994,17.43,6.43,12.93,45.90,38.77
Aug-94,1995,23.83,4.83,12.29,52.87,44.77
Aug-95,1996,25.37,7.37,19.72,54.23,43.35
Aug-96,1997,25.45,10.72,19.10,52.23,41.48
Aug-97,1998,18.15,5.37,12.31,50.35,45.50
Aug-98,1999,18.69,4.01,12.62,51.90,48.71
Aug-99,2000,18.06,4.21,13.04,50.74,41.97
Aug-00,2001,15.72,6.35,10.85,53.52,45.68
1-Aug,2002,11.42,4.31,9.07,51.35,45.74
2-Aug,2003,20.27,5.88,12.25,52.35,44.61
3-Aug,2004,14.12,5.50,11.01,53.65,44.00
4-Aug,2005,16.91,5.66,12.47,49.52,43.45
5-Aug,2006,19.47,8.53,15.54,50.97,47.68
6-Aug,2007,17.09,7.19,13.55,52.26,42.13
7-Aug,2008,22.82,6.12,16.44,54.97,47.23
8-Aug,2009,21.00,6.99,14.96,53.06,45.61
9-Aug,2010,17.23,5.58,11.11,52.45,46.32
10-Aug,2011,28.40,9.58,17.51,52.90,49.90
11-Aug,2012,12.01,4.73,11.55,55.48,46.81
12-Aug,2013,16.71,4.12,9.02,54.65,47.74
13-Aug,2014,23.11,6.30,17.71,53.23,47.94
14-Aug,2015,15.45,6.85,12.50,50.77,48.35
15-Aug,2016,18.62,6.92,12.32,54.10,49.90
16-Aug,2017,19.24,6.92,17.18,51.26,47.90
17-Aug,2018,15.80,5.08,10.83,52.29,47.13
18-Aug,2019,20.93,6.76,14.22,54.23,50.61
19-Aug,2020,19.92,7.26,15.63,55.33,50.23
20-Aug,2021,,,,57.52,48.48
